time,pod,name,cpu_cores,memory_bytes
2023-10-09T08:32:03.545213Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,30m,624Mi
2023-10-09T08:32:18.683595Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,199m,923Mi
2023-10-09T08:32:18.683595Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,189m,623Mi
2023-10-09T08:32:33.825807Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,187m,993Mi
2023-10-09T08:32:33.825807Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,150m,604Mi
2023-10-09T08:32:48.965371Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,200m,1074Mi
2023-10-09T08:32:48.965371Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,150m,604Mi
2023-10-09T08:33:04.041510Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,197m,1171Mi
2023-10-09T08:33:04.041510Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,227m,606Mi
2023-10-09T08:33:19.113571Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,196m,1201Mi
2023-10-09T08:33:19.113571Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,211m,606Mi
2023-10-09T08:33:34.181131Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,198m,1235Mi
2023-10-09T08:33:34.181131Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,141m,600Mi
2023-10-09T08:33:49.333041Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,197m,1263Mi
2023-10-09T08:33:49.333041Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,141m,600Mi
2023-10-09T08:34:04.441100Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,199m,1260Mi
2023-10-09T08:34:04.441100Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,224m,600Mi
2023-10-09T08:34:19.524427Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,197m,1271Mi
2023-10-09T08:34:19.524427Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,196m,601Mi
2023-10-09T08:34:34.617102Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,178m,1331Mi
2023-10-09T08:34:34.617102Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,226m,602Mi
2023-10-09T08:34:49.753104Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,198m,1426Mi
2023-10-09T08:34:49.753104Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,297m,603Mi
2023-10-09T08:35:04.867588Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,200m,1540Mi
2023-10-09T08:35:04.867588Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,38m,603Mi
2023-10-09T08:35:19.976094Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,200m,1565Mi
2023-10-09T08:35:19.976094Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,551m,669Mi
2023-10-09T08:35:35.065111Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,200m,1566Mi
2023-10-09T08:35:35.065111Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,652m,948Mi
2023-10-09T08:35:50.139823Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,200m,1566Mi
2023-10-09T08:35:50.139823Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,748m,890Mi
2023-10-09T08:36:05.215651Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,197m,1519Mi
2023-10-09T08:36:05.215651Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,196m,783Mi
2023-10-09T08:36:20.345100Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,200m,1571Mi
2023-10-09T08:36:20.345100Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,172m,702Mi
2023-10-09T08:36:35.481110Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,200m,1515Mi
2023-10-09T08:36:35.481110Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,247m,627Mi
2023-10-09T08:36:50.569991Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,200m,1515Mi
2023-10-09T08:36:50.569991Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,247m,627Mi
2023-10-09T08:37:05.713330Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,201m,1461Mi
2023-10-09T08:37:05.713330Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,116m,609Mi
2023-10-09T08:37:20.799736Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,198m,1497Mi
2023-10-09T08:37:20.799736Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,82m,602Mi
2023-10-09T08:37:35.921106Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,185m,1414Mi
2023-10-09T08:37:35.921106Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,223m,603Mi
2023-10-09T08:37:51.069073Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,201m,1151Mi
2023-10-09T08:37:51.069073Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,69m,607Mi
2023-10-09T08:38:06.186328Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,201m,915Mi
2023-10-09T08:38:06.186328Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,19m,610Mi
2023-10-09T08:38:21.332126Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,200m,737Mi
2023-10-09T08:38:21.332126Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,18m,613Mi
2023-10-09T08:38:36.441644Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,201m,557Mi
2023-10-09T08:38:36.441644Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,42m,589Mi
2023-10-09T08:38:51.529634Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,105m,367Mi
2023-10-09T08:38:51.529634Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,11m,591Mi
2023-10-09T08:39:06.669373Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,33m,103Mi
2023-10-09T08:39:06.669373Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,9m,592Mi
2023-10-09T08:39:21.753117Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,33m,103Mi
2023-10-09T08:39:21.753117Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,8m,592Mi
2023-10-09T08:39:36.859372Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,1m,103Mi
2023-10-09T08:39:36.859372Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,3m,592Mi
2023-10-09T08:49:51.964749Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,1m,103Mi
2023-10-09T08:49:51.964749Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,53m,595Mi
2023-10-09T08:50:07.116354Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,1m,103Mi
2023-10-09T08:50:07.116354Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,53m,526Mi
2023-10-09T08:50:22.237978Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,1m,103Mi
2023-10-09T08:50:22.237978Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,9m,517Mi
2023-10-09T08:50:37.378594Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,1m,103Mi
2023-10-09T08:50:37.378594Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,9m,517Mi
2023-10-09T08:50:52.474943Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,1m,103Mi
2023-10-09T08:50:52.474943Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,3m,517Mi
2023-10-09T08:51:07.611467Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,1m,103Mi
2023-10-09T08:51:07.611467Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,61m,553Mi
2023-10-09T08:51:22.750889Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,1m,103Mi
2023-10-09T08:51:22.750889Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,216m,597Mi
2023-10-09T08:51:37.879774Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,1m,103Mi
2023-10-09T08:51:37.879774Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,136m,573Mi
2023-10-09T08:51:52.957095Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,95m,169Mi
2023-10-09T08:51:52.957095Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,165m,574Mi
2023-10-09T08:52:08.058245Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,196m,293Mi
2023-10-09T08:52:08.058245Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,110m,574Mi
2023-10-09T08:52:23.193102Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,199m,376Mi
2023-10-09T08:52:23.193102Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,778m,746Mi
2023-10-09T08:52:38.331307Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,200m,446Mi
2023-10-09T08:52:38.331307Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,778m,746Mi
2023-10-09T08:52:53.433099Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,199m,535Mi
2023-10-09T08:52:53.433099Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,557m,938Mi
2023-10-09T08:53:08.578357Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,198m,597Mi
2023-10-09T08:53:08.578357Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,557m,938Mi
2023-10-09T08:53:23.721067Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,198m,597Mi
2023-10-09T08:53:23.721067Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,211m,909Mi
2023-10-09T08:53:38.841097Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,200m,533Mi
2023-10-09T08:53:38.841097Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,273m,909Mi
2023-10-09T08:53:53.974573Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,183m,583Mi
2023-10-09T08:53:53.974573Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,153m,909Mi
2023-10-09T08:54:09.079777Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,198m,652Mi
2023-10-09T08:54:09.079777Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,153m,909Mi
2023-10-09T08:54:24.217089Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,199m,554Mi
2023-10-09T08:54:24.217089Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,270m,909Mi
2023-10-09T08:54:39.360046Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,199m,554Mi
2023-10-09T08:54:39.360046Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,142m,909Mi
2023-10-09T08:54:54.500749Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,199m,839Mi
2023-10-09T08:54:54.500749Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,334m,787Mi
2023-10-09T08:55:09.636944Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,199m,847Mi
2023-10-09T08:55:09.636944Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,177m,700Mi
2023-10-09T08:55:24.722105Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,200m,871Mi
2023-10-09T08:55:24.722105Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,117m,643Mi
2023-10-09T08:55:39.844146Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,186m,900Mi
2023-10-09T08:55:39.844146Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,129m,571Mi
2023-10-09T08:55:54.933073Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,199m,895Mi
